LANGUAGE,English,French,Italian,Spanish,German,Czech,Polish,Russian
STR_DISP_MAIN_OPTIONS,OPTIONS,OPTIONS,OPZIONI,OPCIONES,OPTIONEN,NASTAVENÍ,OPCJE,НАСТРОЙКИ
STR_DISP_OPTIONS_TITLE,Options,Options,Opzioni,Opciones,Optionen,Nastavení,Opcje,Настройки
STR_DISP_MAIN_OPT_AUDIO,Audio,Options audio,Opzioni audio,Opciones de sonido,Audio-Optionen,Zvuk,Dźwięk,Звук
STR_DISP_OPTIONS_AUDIO,Audio options,Options audio,Opzioni audio,Opciones de sonido,Audio-Optionen,Zvuk,Opcje dźwiękowe,Звук
STR_DISP_MAIN_OPT_DISPLAY,Display,Affichage,Video,Pantalla,Anzeige,Zobrazení,Obraz,Экран
STR_DISP_MAIN_OPT_GRAPHICS,Graphics,Graphismes,Grafica,Gráficos,Grafik,Grafika,Grafika,Графика
STR_DISP_MAIN_OPT_GAME,Game,Jeu,Gioco,Juego,Spiel,Hra,Gra,Игра
STR_DISP_OPTIONS_DIFFICULTY,Difficulty,Difficulté,Difficoltà,Dificultad,Schwierigkeitsgrad,Obtížnost,Trudność,Сложность
STR_DISP_MAIN_OPT_SYSTEM_DEFAULT,System default,Par défaut du système,Predefinito di sistema,Predeterminado del sistema,Systemstandard,Výchozí nastavení systému,Domyślne ustawienie systemu,Системное значение
STR_DISP_MAIN_OPT_DISPLAY_NATIVE,Native,Natif,Nativa,Nativo,Nativ,Nativní,Natywne,Нативное
STR_DISP_MAIN_OPT_DISPLAY_FULLSCREEN,Fullscreen,Plein écran,Schermo intero,Pantalla completa,Vollbild,Celá obrazovka,Pełny ekran,Полный экран
STR_DISP_MAIN_OPT_DISPLAY_BORDERLESS,Exclusive Fullscreen,Plein écran exclusif,Schermo intero esclusivo,Pantalla completa exclusiva,Exklusiver Vollbildmodus,Exkluzivní celá obrazovka,Pełny ekran ekskluzywny,Эксклюзивный полный экран
STR_DISP_MAIN_OPT_DISPLAY_MONITOR,Monitor,Moniteur,Monitor,Monitor,Monitor,Monitor,Monitor,Монитор
STR_DISP_MAIN_OPT_DISPLAY_MONITOR_DESC,Display the game uses for rendering.,Moniteur utilisé par le jeu pour le rendu.,Monitor usato dal gioco per il rendering.,Monitor que usa el juego para renderizar.,Monitor den das Spiel zum Rendern verwendet.,Monitor použitý pro vykreslování hry.,Monitor używany przez grę do renderowania.,"Монитор, который игра использует для вывода."
STR_DISP_MAIN_OPT_DISPLAY_MONITOR_FALLBACK,Monitor,Moniteur,Monitor,Monitor,Monitor,Monitor,Monitor,Монитор
STR_DISP_MAIN_OPT_DISPLAY_MONITOR_ENTRY_FORMAT,%s (%dx%d),%s (%dx%d),%s (%dx%d),%s (%dx%d),%s (%dx%d),%s (%dx%d),%s (%dx%d),%s (%dx%d)
STR_DISP_MAIN_OPT_DISPLAY_WINDOW_MODE,Window Mode,Mode d'affichage,Modalità finestra,Modo de ventana,Fenstermodus,Režim okna,Tryb okna,Оконный режим
STR_DISP_MAIN_OPT_DISPLAY_WINDOW_MODE_DESC,"Fullscreen, Exclusive Fullscreen, or Window presentation mode.","Mode d'affichage plein écran, plein écran exclusif ou fenêtre.","Modalità di presentazione a schermo intero, schermo intero esclusivo o finestra.","Modo de presentación en pantalla completa, pantalla completa exclusiva o ventana.","Darstellungsmodus: Vollbild, exklusiver Vollbildmodus oder Fenster.","Režim zobrazení: celá obrazovka, exkluzivní celá obrazovka nebo okno.","Tryb wyświetlania: pełny ekran, pełny ekran ekskluzywny lub okno.","Режим отображения: полный экран, эксклюзивный полный экран или окно."
STR_DISP_MAIN_OPT_DISPLAY_WINDOWED,Window,Fenêtre,Finestra,Ventana,Fenster,Okno,Okno,Окно
STR_DISP_MAIN_OPT_DISPLAY_STYLE,Aspect Handling,Gestion du format,Gestione formato,Gestión de aspecto,Seitenverhältnis,Chování poměru stran,Obsługa proporcji,Обработка формата
STR_DISP_MAIN_OPT_DISPLAY_STYLE_DESC,Adaptive keeps the world undistorted and lets the HUD width limit control very wide screens. Original stretches the HUD like the classic game.,Adaptatif garde le monde sans déformation et laisse la limite HUD contrôler les écrans très larges. Original étire le HUD comme le jeu classique.,Adattiva mantiene il mondo non distorto e lascia al limite HUD il controllo degli schermi molto larghi. Originale allunga l'HUD come il gioco classico.,Adaptativo mantiene el mundo sin deformar y permite que el límite del HUD controle pantallas muy anchas. Original estira el HUD como el juego clásico.,"Adaptiv hält die Welt unverzerrt und lässt die HUD-Breitenbegrenzung sehr breite Bildschirme steuern. Original streckt das HUD wie das klassische Spiel.","Přizpůsobené nechá svět bez zkreslení a limit šířky HUD řídí velmi široké obrazovky. Původní roztáhne HUD jako klasická hra.","Adaptacyjne utrzymuje świat bez zniekształceń, a limit szerokości HUD steruje bardzo szerokimi ekranami. Oryginalne rozciąga HUD jak klasyczna gra.","Адаптивный режим сохраняет мир без искажений, а лимит ширины HUD управляет очень широкими экранами. Оригинальный растягивает HUD как классическая игра."
STR_DISP_MAIN_OPT_DISPLAY_STYLE_MODERN,Adaptive,Adaptatif,Adattiva,Adaptativo,Adaptiv,Přizpůsobené,Adaptacyjne,Адаптивно
STR_DISP_MAIN_OPT_DISPLAY_STYLE_CLASSIC,Original (stretched HUD),Original (HUD étiré),Originale (HUD allungato),Original (HUD estirado),Original (gestrecktes HUD),Původní (roztažený HUD),Oryginalne (rozciągnięty HUD),Оригинал (растянутый HUD)
STR_DISP_MAIN_OPT_DISPLAY_ULTRAWIDE_CLAMP,HUD Width Limit,Limite largeur HUD,Limite larghezza HUD,Límite de anchura HUD,HUD-Breitenlimit,Limit šířky HUD,Limit szerokości HUD,Лимит ширины HUD
